,value_as_string,0,1,2
1065,COB^E02COB BY01^BY01-01,COB,E02COB BY01,BY01-01
74,COB^E02COB BY01^BY01-04,COB,E02COB BY01,BY01-04
299,COBN^E02COBN BY01^BY01-C03B,COBN,E02COBN BY01,BY01-C03B
297,COBN^E02COBN BY01^BY01-C01A,COBN,E02COBN BY01,BY01-C01A
185,COBN^E02COBN BY01^BY01-C02A,COBN,E02COBN BY01,BY01-C02A
1535,COBN^E02COBN BY01^BY01-C02B,COBN,E02COBN BY01,BY01-C02B
1751,COBN^E02COBN BY01^BY01-C04B,COBN,E02COBN BY01,BY01-C04B
1678,COBN^E02COBN BY01^BY01-C03A,COBN,E02COBN BY01,BY01-C03A
876,COBN^E02COBN BY01^BY01-C01B,COBN,E02COBN BY01,BY01-C01B
251,COBN^E02COBN BY01^BY01-C04A,COBN,E02COBN BY01,BY01-C04A
1777,CRF^TCR CRF BY01^BY01-09,CRF,TCR CRF BY01,BY01-09
910,CRF^TCR CRF BY01^BY01-03,CRF,TCR CRF BY01,BY01-03
200,CRF^TCR CRF BY01^BY01-02,CRF,TCR CRF BY01,BY01-02
72,CRF^TCR CRF POOL02^WAIT,CRF,TCR CRF POOL02,WAIT
489,CRF^null^null,CRF,null,null
1480,CRF^TCR CRF BY01^BY01-01,CRF,TCR CRF BY01,BY01-01
273,CRF^TCR CRF BY01^BY01-07,CRF,TCR CRF BY01,BY01-07
628,CRF^TCR CRF BY01^BY01-08,CRF,TCR CRF BY01,BY01-08
1500,CRF^TCR CRF BY01^BY01-05,CRF,TCR CRF BY01,BY01-05
1456,CRF^TCR CRF BY01^BY01-06,CRF,TCR CRF BY01,BY01-06
1512,CRF^TCR CRF SR02^SR02-02,CRF,TCR CRF SR02,SR02-02
658,CRF^TCR CRF POOL01^CLINIC ROOM,CRF,TCR CRF POOL01,CLINIC ROOM
138,CRF^TCR CRF SR01^SR01-01,CRF,TCR CRF SR01,SR01-01
146,CRF^TCR CRF BY01^BY01-04,CRF,TCR CRF BY01,BY01-04
1193,CSW1^CLVST DAY BY01^BY01-04,CSW1,CLVST DAY BY01,BY01-04
1195,CSW1^CLVST DAY BY01^BY01-05,CSW1,CLVST DAY BY01,BY01-05
1689,CSW1^CLVST DAY BY01^BY01-02,CSW1,CLVST DAY BY01,BY01-02
1688,CSW1^CLVST DAY BY02^BY02-06,CSW1,CLVST DAY BY02,BY02-06
1736,CSW1^CLVST DAY BY02^BY02-03,CSW1,CLVST DAY BY02,BY02-03
1670,CSW1^CLVST DAY BY02^BY02-04,CSW1,CLVST DAY BY02,BY02-04
846,CSW1^CLVST DAY BY02^BY02-02,CSW1,CLVST DAY BY02,BY02-02
5,CSW1^CLVST DAY BY02^BY02-01,CSW1,CLVST DAY BY02,BY02-01
1599,CSW1^CLVST DAY BY01^BY01-01,CSW1,CLVST DAY BY01,BY01-01
118,CSW1^CLVST DAY WAITING^WAIT,CSW1,CLVST DAY WAITING,WAIT
1793,CSW1^CLVST DAY BY02^BY02-05,CSW1,CLVST DAY BY02,BY02-05
372,CSW1^CLVST DAY BY01^BY01-06,CSW1,CLVST DAY BY01,BY01-06
256,CSW1^CLVST DAY BY01^BY01-03,CSW1,CLVST DAY BY01,BY01-03
699,CTYA^MCCTYA BY01^CH06,CTYA,MCCTYA BY01,CH06
635,CTYA^MCCTYA WAITING^WAIT,CTYA,MCCTYA WAITING,WAIT
1030,CTYA^MCCTYA SR02^SR02,CTYA,MCCTYA SR02,SR02
554,CTYA^MCCTYA BY02^LG02,CTYA,MCCTYA BY02,LG02
526,CTYA^null^null,CTYA,null,null
1531,CTYA^MCCTYA BY01^CH04,CTYA,MCCTYA BY01,CH04
122,CTYA^MCCTYA BY01^CH02,CTYA,MCCTYA BY01,CH02
1673,CTYA^MCCTYA BY01^CH03,CTYA,MCCTYA BY01,CH03
1772,CTYA^MCCTYA PHYSIO^PHYSIO,CTYA,MCCTYA PHYSIO,PHYSIO
1451,CTYA^MCCTYA BY01^CH05,CTYA,MCCTYA BY01,CH05
1254,CTYA^MCCTYA BY01^CH07,CTYA,MCCTYA BY01,CH07
491,CTYA^MCCTYA BY01^CH01,CTYA,MCCTYA BY01,CH01
1783,CTYA^MCCTYA PROC^PROC,CTYA,MCCTYA PROC,PROC
1655,CTYA^MCCTYA BY01^CH08,CTYA,MCCTYA BY01,CH08
683,CTYA^MCCTYA SR01^SR01,CTYA,MCCTYA SR01,SR01
1734,CTYA^MCCTYA BY02^LG03,CTYA,MCCTYA BY02,LG03
1497,CTYA^MCCTYA BY02^LG01,CTYA,MCCTYA BY02,LG01
224,CWRD^RNTNEC SR13^SR13-13,CWRD,RNTNEC SR13,SR13-13
1806,CWRD^RNTNEC CB01^CB01-01,CWRD,RNTNEC CB01,CB01-01
1050,CWRD^RNTNEC POOL01^CHAIR,CWRD,RNTNEC POOL01,CHAIR
464,CWRD^RNTNEC POOL02^CHAIR,CWRD,RNTNEC POOL02,CHAIR
1113,CWRD^RNTNEC BY01^BY01-06,CWRD,RNTNEC BY01,BY01-06
1103,CWRD^RNTNEC BY01^BY01-05,CWRD,RNTNEC BY01,BY01-05
1289,CWRD^RNTNEC CB02^CB02-02,CWRD,RNTNEC CB02,CB02-02
1005,CWRD^RNTNEC BY02^BY02-17,CWRD,RNTNEC BY02,BY02-17
127,CWRD^RNTNEC BY02^BY02-16,CWRD,RNTNEC BY02,BY02-16
742,CWRD^RNTNEC BY02^BY02-18,CWRD,RNTNEC BY02,BY02-18
731,CWRD^null^null,CWRD,null,null
1462,CWRD^RNTNEC SR14^SR14-14,CWRD,RNTNEC SR14,SR14-14
660,CWRD^RNTNEC BY01^BY01-11,CWRD,RNTNEC BY01,BY01-11
795,CWRD^RNTNEC BY01^BY01-07,CWRD,RNTNEC BY01,BY01-07
1572,CWRD^RNTNEC BY01^BY01-10,CWRD,RNTNEC BY01,BY01-10
161,CWRD^RNTNEC BY01^BY01-08,CWRD,RNTNEC BY01,BY01-08
838,CWRD^RNTNEC CB03^CB03-03,CWRD,RNTNEC CB03,CB03-03
248,CWRD^RNTNEC BY01^BY01-09,CWRD,RNTNEC BY01,BY01-09
995,CWRD^RNTNEC BY01^BY01-04,CWRD,RNTNEC BY01,BY01-04
1628,CWRD^RNTNEC BY01^BY01-12,CWRD,RNTNEC BY01,BY01-12
592,CWRD^RNTNEC BY02^BY02-15,CWRD,RNTNEC BY02,BY02-15
301,DCNQ^RLHIMDCU CH15^CH15-15,DCNQ,RLHIMDCU CH15,CH15-15
1004,DCNQ^RLHIMDCU CH02^CH02-02,DCNQ,RLHIMDCU CH02,CH02-02
988,DCNQ^RLHIM KITCHEN^KITCHEN,DCNQ,RLHIM KITCHEN,KITCHEN
504,DCNQ^RLHIMDCU CH20^CH20-20,DCNQ,RLHIMDCU CH20,CH20-20
754,DCNQ^RLHIMDCU CH07^CH07-07,DCNQ,RLHIMDCU CH07,CH07-07
691,DCNQ^RLHIMDCU CH29^CH29-29,DCNQ,RLHIMDCU CH29,CH29-29
775,DCNQ^RLHIMDCU CH13^CH13-13,DCNQ,RLHIMDCU CH13,CH13-13
960,DCNQ^RLHIMDCU CH21^CH21-21,DCNQ,RLHIMDCU CH21,CH21-21
655,DCNQ^RLHIMDCU SR01^SR01-01,DCNQ,RLHIMDCU SR01,SR01-01
905,DCNQ^RLHIMDCU CH34^CH34-34,DCNQ,RLHIMDCU CH34,CH34-34
324,DCNQ^RLHIMDCU CH01^CH01-01,DCNQ,RLHIMDCU CH01,CH01-01
909,DCNQ^RLHIMDCU CH33^CH33-33,DCNQ,RLHIMDCU CH33,CH33-33
1013,DCNQ^RLHIMDCU CH18^CH18-18,DCNQ,RLHIMDCU CH18,CH18-18
608,DCNQ^RLHIMDCU WAITING^WAIT,DCNQ,RLHIMDCU WAITING,WAIT
390,DCNQ^RLHIMDCU CH22^CH22-22,DCNQ,RLHIMDCU CH22,CH22-22
308,DCNQ^RLHIMDCU CH40^CH40-40,DCNQ,RLHIMDCU CH40,CH40-40
