,value_as_string,0,1,2
1533,ED^UCHED RAT07^RAT-CHAIR-07,ED,UCHED RAT07,RAT-CHAIR-07
1529,ED^UCHED ADULT TRIAGE^NONE,ED,UCHED ADULT TRIAGE,NONE
1362,ED^UCHED MAJ304^MAJ3-04,ED,UCHED MAJ304,MAJ3-04
104,ED^UCHED UTC07^07-UTC,ED,UCHED UTC07,07-UTC
1521,ED^UCHED MAJ303^MAJ3-03,ED,UCHED MAJ303,MAJ3-03
1376,ED^UCHED MAJORS15^15-MAJORS,ED,UCHED MAJORS15,15-MAJORS
707,ED^UCHED UTC PL^TREATMENT ROOM,ED,UCHED UTC PL,TREATMENT ROOM
1343,ED^UCHED RAT09^RAT-CHAIR-09,ED,UCHED RAT09,RAT-CHAIR-09
719,ED^UCHED MAJ313^MAJ3-13,ED,UCHED MAJ313,MAJ3-13
730,ED^UCHED MAJ301^MAJ3-01,ED,UCHED MAJ301,MAJ3-01
113,ED^UCHED UTCCH06^18-UTC CHAIR,ED,UCHED UTCCH06,18-UTC CHAIR
1402,ED^UCHED UTC10^10-UTC,ED,UCHED UTC10,10-UTC
793,ED^UCHED RESUS01^01-RESUS,ED,UCHED RESUS01,01-RESUS
778,ED^UCHED MAJ309^MAJ3-09,ED,UCHED MAJ309,MAJ3-09
1405,ED^UCHED MAJORS09^09-MAJORS,ED,UCHED MAJORS09,09-MAJORS
1464,ED^UCHED UTCCH09^21-UTC CHAIR,ED,UCHED UTCCH09,21-UTC CHAIR
752,ED^UCHED MAJ312^MAJ3-12,ED,UCHED MAJ312,MAJ3-12
1417,ED^UCHED MAJORS10^10-MAJORS,ED,UCHED MAJORS10,10-MAJORS
1398,ED^null^null,ED,null,null
1338,ED^UCHED MAJORS02^02-MAJORS,ED,UCHED MAJORS02,02-MAJORS
1348,ED^UCHED UTC08^08-UTC,ED,UCHED UTC08,08-UTC
1323,ED^UCHED PAEDS06^06-PAEDS,ED,UCHED PAEDS06,06-PAEDS
385,ED^UCHED MAJORS06^06-MAJORS,ED,UCHED MAJORS06,06-MAJORS
610,ED^UCHED TAF40^40-TAF,ED,UCHED TAF40,40-TAF
620,ED^UCHED PAEDS TRIAGE^NONE,ED,UCHED PAEDS TRIAGE,NONE
1595,ED^UCHED MAJORS11^11-MAJORS,ED,UCHED MAJORS11,11-MAJORS
1290,ED^UCHED OTF POOL^OTF,ED,UCHED OTF POOL,OTF
1586,ED^UCHED UTC03^03-UTC,ED,UCHED UTC03,03-UTC
80,ED^UCHED RESUS02^02-RESUS,ED,UCHED RESUS02,02-RESUS
170,ED^UCHED MAJORS01^01-MAJORS,ED,UCHED MAJORS01,01-MAJORS
182,ED^UCHED PAEDS08^08-PAEDS,ED,UCHED PAEDS08,08-PAEDS
907,ED^UCHED MAJORS08^08-MAJORS,ED,UCHED MAJORS08,08-MAJORS
443,ED^UCHED WR POOL^WR,ED,UCHED WR POOL,WR
1305,ED^UCHED MAJ307^MAJ3-07,ED,UCHED MAJ307,MAJ3-07
1303,ED^UCHED MAJORS18^18-MAJORS,ED,UCHED MAJORS18,18-MAJORS
882,ED^UCHED UTCCH05^17-UTC CHAIR,ED,UCHED UTCCH05,17-UTC CHAIR
878,ED^UCHED RAT10^RAT-CHAIR-10,ED,UCHED RAT10,RAT-CHAIR-10
88,ED^UCHED UTC09^09-UTC,ED,UCHED UTC09,09-UTC
1291,ED^UCHED MAJORS14^14-MAJORS,ED,UCHED MAJORS14,14-MAJORS
745,EDHOSURG^EDH ORAL CHAIR^CH06,EDHOSURG,EDH ORAL CHAIR,CH06
455,EDHOSURG^EDH ORAL CHAIR^CH03,EDHOSURG,EDH ORAL CHAIR,CH03
1119,EDHOSURG^EDH ORAL CHAIR^CH01,EDHOSURG,EDH ORAL CHAIR,CH01
1274,EDHOSURG^EDH ORAL CHAIR^CH05,EDHOSURG,EDH ORAL CHAIR,CH05
81,EDHOSURG^EDH ORAL CHAIR^CH02,EDHOSURG,EDH ORAL CHAIR,CH02
283,EDHOSURG^null^null,EDHOSURG,null,null
895,EDHOSURG^EDH ORAL CHAIR^CH04,EDHOSURG,EDH ORAL CHAIR,CH04
1559,EDHPDSURG^EDH PAED CHAIR^CH01,EDHPDSURG,EDH PAED CHAIR,CH01
1185,EDHPDSURG^null^null,EDHPDSURG,null,null
1341,EDHPDSURG^EDH PAED WAIT^WAIT,EDHPDSURG,EDH PAED WAIT,WAIT
486,EDHPDSURG^EDH PAED CHAIR^CH02,EDHPDSURG,EDH PAED CHAIR,CH02
1738,EDHRSURG^EDH REST CHAIR^CH02,EDHRSURG,EDH REST CHAIR,CH02
605,EDHRSURG^EDH REST CHAIR^CH03,EDHRSURG,EDH REST CHAIR,CH03
739,EDHRSURG^EDH REST CHAIR^CH04,EDHRSURG,EDH REST CHAIR,CH04
1836,EDHRSURG^ED REST WAIT^WAIT,EDHRSURG,ED REST WAIT,WAIT
33,EDHRSURG^null^null,EDHRSURG,null,null
169,EDHRSURG^EDH REST CHAIR^CH01,EDHRSURG,EDH REST CHAIR,CH01
1770,EDHSURG^EHD SURG SR09^SR09-CH02,EDHSURG,EHD SURG SR09,SR09-CH02
167,EDHSURG^EHD SURG SR12^SR12-CH05,EDHSURG,EHD SURG SR12,SR12-CH05
1316,EDHSURG^EHD SURG SR14^SR14-CH06,EDHSURG,EHD SURG SR14,SR14-CH06
966,EDHSURG^EHD SURG SR16^SR16-CH08,EDHSURG,EHD SURG SR16,SR16-CH08
776,EDHSURG^EHD SURG SR10^SR10-CH03,EDHSURG,EHD SURG SR10,SR10-CH03
556,EDHSURG^EHD SURG SR15^SR15-CH07,EDHSURG,EHD SURG SR15,SR15-CH07
1094,EDHSURG^EHD SURG SR11^SR11-CH04,EDHSURG,EHD SURG SR11,SR11-CH04
1427,EDHSURG^EHD SURG WAITING^WAIT,EDHSURG,EHD SURG WAITING,WAIT
1112,EDHSURG^EHD SURG SR08^SR08-CH01,EDHSURG,EHD SURG SR08,SR08-CH01
718,EGALNGE^EGAPATLNGE WAIT^CHAIR,EGALNGE,EGAPATLNGE WAIT,CHAIR
546,ENTEDPZ^ENTED PZ CHAIRS^CH1.08,ENTEDPZ,ENTED PZ CHAIRS,CH1.08
749,ENTEDPZ^ENTED PZ CHAIRS^CH1.11,ENTEDPZ,ENTED PZ CHAIRS,CH1.11
90,ENTEDPZ^ENTED PZ ARRIVED^-,ENTEDPZ,ENTED PZ ARRIVED,-
1492,ENTEDPZ^ENTED PZ RECOVERY 2^R2,ENTEDPZ,ENTED PZ RECOVERY 2,R2
31,ENTEDPZ^ENTED PZ CHAIRS^CH1.09,ENTEDPZ,ENTED PZ CHAIRS,CH1.09
821,ENTEDPZ^ENTED PZ CHAIRS^CH1.12,ENTEDPZ,ENTED PZ CHAIRS,CH1.12
920,ENTEDPZ^ENTED PZ RECOVERY 1^R1,ENTEDPZ,ENTED PZ RECOVERY 1,R1
723,ENTEDPZ^ENTED PZ CHAIRS^CH1.07,ENTEDPZ,ENTED PZ CHAIRS,CH1.07
1813,ENTEDPZ^ENTED PZ CHAIRS^CH1.10,ENTEDPZ,ENTED PZ CHAIRS,CH1.10
565,ENTEDPZ^ENTED PZ DISCHARGE^-,ENTEDPZ,ENTED PZ DISCHARGE,-
1692,ENTEDPZ^ENTED PZ CHAIRS^CH1.06,ENTEDPZ,ENTED PZ CHAIRS,CH1.06
1596,ENTEDPZ^ENTED PZ RECOVERY SR^SR,ENTEDPZ,ENTED PZ RECOVERY SR,SR
590,F3NU^E03MCU BY05^BY05-A18,F3NU,E03MCU BY05,BY05-A18
1630,F3NU^E03MCU SR45^SR45-A01,F3NU,E03MCU SR45,SR45-A01
991,F3NU^E03MCU WAITING^WAIT,F3NU,E03MCU WAITING,WAIT
379,F3NU^E03MCU BY07^BY07-A23,F3NU,E03MCU BY07,BY07-A23
822,F3NU^E03MCU SR46^SR46-A01,F3NU,E03MCU SR46,SR46-A01
1039,F3NU^null^null,F3NU,null,null
1468,F3NU^E03MCU BY10^BY10-A33,F3NU,E03MCU BY10,BY10-A33
883,F3NU^E03MCU BY10^BY10-A34,F3NU,E03MCU BY10,BY10-A34
500,F3NU^E03MCU BY05^BY05-A15,F3NU,E03MCU BY05,BY05-A15
501,F3NU^E03MCU SR41^SR41-A02,F3NU,E03MCU SR41,SR41-A02
1686,F3NU^E03MCU BY11^BY11-A40,F3NU,E03MCU BY11,BY11-A40
1491,F3NU^E03MCU BY02^BY02-A03,F3NU,E03MCU BY02,BY02-A03
1048,F3NU^E03MCU SR01^SR01-A01,F3NU,E03MCU SR01,SR01-A01
615,F3NU^E03MCU BY03^BY03-A09,F3NU,E03MCU BY03,BY03-A09
110,F3NU^E03MCU BY05^BY05-A16,F3NU,E03MCU BY05,BY05-A16
1725,F3NU^E03MCU BY03^BY03-A06,F3NU,E03MCU BY03,BY03-A06
835,F3NU^E03MCU BY10^BY10-A36,F3NU,E03MCU BY10,BY10-A36
1619,F3NU^E03MCU BY05^BY05-A17,F3NU,E03MCU BY05,BY05-A17
103,F3NU^E03MCU BY04^BY04-A10,F3NU,E03MCU BY04,BY04-A10
1706,F3NU^E03MCU BY03^BY03-A08,F3NU,E03MCU BY03,BY03-A08
264,F3NU^E03MCU BY11^BY11-A38,F3NU,E03MCU BY11,BY11-A38
815,F3NU^E03MCU BY04^BY04-A14,F3NU,E03MCU BY04,BY04-A14
317,F3NU^E03MCU BY08^BY08-A27,F3NU,E03MCU BY08,BY08-A27
488,F3NU^E03MCU BY11^BY11-A37,F3NU,E03MCU BY11,BY11-A37
1272,F3NU^E03MCU BY04^BY04-A11,F3NU,E03MCU BY04,BY04-A11
713,F3NU^E03MCU BY02^BY02-A04,F3NU,E03MCU BY02,BY02-A04
1269,F3NU^E03MCU BY03^BY03-A07,F3NU,E03MCU BY03,BY03-A07
953,F3NU^E03MCU BY02^BY02-A05,F3NU,E03MCU BY02,BY02-A05
641,F3NU^E03MCU BY07^BY07-A24,F3NU,E03MCU BY07,BY07-A24
465,F3NU^E03MCU BY08^BY08-A25,F3NU,E03MCU BY08,BY08-A25
1167,F3NU^E03MCU BY02^BY02-A02,F3NU,E03MCU BY02,BY02-A02
221,F3NU^E03MCU BY11^BY11-A39,F3NU,E03MCU BY11,BY11-A39
961,F3NU^E03MCU BY08^BY08-A26,F3NU,E03MCU BY08,BY08-A26
192,F3NU^E03MCU SR43^SR43-A01,F3NU,E03MCU SR43,SR43-A01
1817,F3NU^E03MCU BY06^BY06-A19,F3NU,E03MCU BY06,BY06-A19
11,F3NU^E03MCU SR42^SR42-A01,F3NU,E03MCU SR42,SR42-A01
1346,F3NU^E03MCU BY06^BY06-A21,F3NU,E03MCU BY06,BY06-A21
453,F3NU^E03MCU BY06^BY06-A20,F3NU,E03MCU BY06,BY06-A20
1148,F3NU^E03MCU BY10^BY10-A35,F3NU,E03MCU BY10,BY10-A35
1446,F3NU^E03MCU BY06^BY06-A22,F3NU,E03MCU BY06,BY06-A22
321,F3NU^E03MCU BY08^BY08-A28,F3NU,E03MCU BY08,BY08-A28
139,F3NU^E03MCU BY09^BY09-A31,F3NU,E03MCU BY09,BY09-A31
1350,F3NU^E03MCU BY04^BY04-A12,F3NU,E03MCU BY04,BY04-A12
1382,F3NU^E03MCU SR44^SR44-A01,F3NU,E03MCU SR44,SR44-A01
1253,F3NU^E03MCU BY09^BY09-A29,F3NU,E03MCU BY09,BY09-A29
1371,F3NU^E03MCU SR41^SR41-A01,F3NU,E03MCU SR41,SR41-A01
1363,F3NU^E03MCU BY09^BY09-A30,F3NU,E03MCU BY09,BY09-A30
1147,F3NU^E03MCU BY09^BY09-A32,F3NU,E03MCU BY09,BY09-A32
407,GKNQ^NHNN GAMMA^POOL,GKNQ,NHNN GAMMA,POOL
611,GKNQ^null^null,GKNQ,null,null
1629,GWNC^CHALF WGC SR09^SR09-09,GWNC,CHALF WGC SR09,SR09-09
741,GWNC^CHALF WGC SR22^SR22-22,GWNC,CHALF WGC SR22,SR22-22
191,GWNC^CHALF WGC SR03^SR03-03,GWNC,CHALF WGC SR03,SR03-03
860,GWNC^CHALF WGC SR12^SR12-12,GWNC,CHALF WGC SR12,SR12-12
409,GWNC^CHALF WGC SR08^SR08-08VT,GWNC,CHALF WGC SR08,SR08-08VT
1624,GWNC^CHALF WGC SR13^SR13-13,GWNC,CHALF WGC SR13,SR13-13
199,GWNC^CHALF WGC SR06^SR06-06,GWNC,CHALF WGC SR06,SR06-06
555,GWNC^CHALF WGC SR20^SR20-20,GWNC,CHALF WGC SR20,SR20-20
315,GWNC^CHALF WGC SR02^SR02-02,GWNC,CHALF WGC SR02,SR02-02
856,GWNC^CHALF WGC SR07^SR07-07VT,GWNC,CHALF WGC SR07,SR07-07VT
1286,GWNC^CHALF WGC SR10^SR10-10,GWNC,CHALF WGC SR10,SR10-10
1573,GWNC^CHALF WGC SR05^SR05-05,GWNC,CHALF WGC SR05,SR05-05
1060,GWNC^CHALF WGC SR15^SR15-15VT,GWNC,CHALF WGC SR15,SR15-15VT
1171,GWNC^CHALF WGC SR06^SR06-06VT,GWNC,CHALF WGC SR06,SR06-06VT
689,GWNC^CHALF WGC SR16^SR16-16VT,GWNC,CHALF WGC SR16,SR16-16VT
1520,GWNC^CHALF WGC SR25^SR25-25,GWNC,CHALF WGC SR25,SR25-25
607,GWNC^CHALF WGC SR07^SR07-07,GWNC,CHALF WGC SR07,SR07-07
1131,GWNC^CHALF WGC SR01^SR01-01,GWNC,CHALF WGC SR01,SR01-01
231,GWNC^CHALF WGC SR16^SR16-16,GWNC,CHALF WGC SR16,SR16-16
1467,GWNC^CHALF WGC SR26^SR26-26,GWNC,CHALF WGC SR26,SR26-26
323,GWNC^CHALF WGC SR24^SR24-24,GWNC,CHALF WGC SR24,SR24-24
1622,GWNC^CHALF WGC SR11^SR11-11,GWNC,CHALF WGC SR11,SR11-11
1646,GWNC^CHALF WGC SR23^SR23-23,GWNC,CHALF WGC SR23,SR23-23
0,GWNC^CHALF WGC SR21^SR21-21,GWNC,CHALF WGC SR21,SR21-21
428,GWNC^CHALF WGC SR14^SR14-14,GWNC,CHALF WGC SR14,SR14-14
430,GWNC^CHALF WGC SR19^SR19-19,GWNC,CHALF WGC SR19,SR19-19
462,GWNC^CHALF WGC SR17^SR17-17VT,GWNC,CHALF WGC SR17,SR17-17VT
931,GWNC^CHALF WGC SR18^SR18-18,GWNC,CHALF WGC SR18,SR18-18
46,GWNC^CHALF WGC WAIT01^WAIT,GWNC,CHALF WGC WAIT01,WAIT
1749,GWNC^CHALF WGC SR04^SR04-04,GWNC,CHALF WGC SR04,SR04-04
1422,HASU^T07 BY08^BY08-35,HASU,T07 BY08,BY08-35
1614,HASU^T07 BY05^BY05-23,HASU,T07 BY05,BY05-23
685,HASU^T07 BY06^BY06-30,HASU,T07 BY06,BY06-30
272,HASU^T07 BY09^BY09-38,HASU,T07 BY09,BY09-38
1487,HASU^T07 BY07^BY07-33,HASU,T07 BY07,BY07-33
1510,HASU^T07 BY09^BY09-40,HASU,T07 BY09,BY09-40
1144,HASU^T07 BY08^BY08-36,HASU,T07 BY08,BY08-36
1824,HASU^T07 BY07^BY07-32,HASU,T07 BY07,BY07-32
109,HASU^T07 BY05^BY05-25,HASU,T07 BY05,BY05-25
1753,HASU^T07 BY08^BY08-34,HASU,T07 BY08,BY08-34
802,HASU^T07 BY09^BY09-37,HASU,T07 BY09,BY09-37
1089,HASU^T07 BY05^BY05-26,HASU,T07 BY05,BY05-26
357,HASU^T07 BY09^BY09-39,HASU,T07 BY09,BY09-39
1631,HASU^T07 BY06^BY06-27,HASU,T07 BY06,BY06-27
1833,HASU^T07 BY05^BY05-24,HASU,T07 BY05,BY05-24
790,HASU^T07 WAITING^WAIT,HASU,T07 WAITING,WAIT
1044,HASU^T07 BY07^BY07-31,HASU,T07 BY07,BY07-31
849,HASU^T07 BY06^BY06-28,HASU,T07 BY06,BY06-28
714,HASU^T07 BY06^BY06-29,HASU,T07 BY06,BY06-29
943,HJNQ^Q5HJ BY04^BY04-4B,HJNQ,Q5HJ BY04,BY04-4B
520,HJNQ^Q5HJ SR01^SR01-01,HJNQ,Q5HJ SR01,SR01-01
1061,HJNQ^Q5HJ BY03^BY03-3B,HJNQ,Q5HJ BY03,BY03-3B
1000,HJNQ^Q5HJ WAITING^WAIT,HJNQ,Q5HJ WAITING,WAIT
1506,HJNQ^Q5HJ BY05^BY05-5A,HJNQ,Q5HJ BY05,BY05-5A
1020,HJNQ^Q5HJ BY06^BY06-6A,HJNQ,Q5HJ BY06,BY06-6A
1502,HJNQ^Q5HJ BY04^BY04-4A,HJNQ,Q5HJ BY04,BY04-4A
1189,HJNQ^Q5HJ BY03^BY03-3A,HJNQ,Q5HJ BY03,BY03-3A
341,HJNQ^Q5HJ SR02^SR02-02 (PADDED),HJNQ,Q5HJ SR02,SR02-02 (PADDED)
923,HJNQ^Q5HJ BY05^BY05-5B,HJNQ,Q5HJ BY05,BY05-5B
1668,HJNQ^Q5HJ BY04^BY04-4D,HJNQ,Q5HJ BY04,BY04-4D
144,HJNQ^Q5HJ BY04^BY04-4C,HJNQ,Q5HJ BY04,BY04-4C
241,HS15^T15N SR09^SR09-09,HS15,T15N SR09,SR09-09
1160,HS15^T15N SR10^SR10-10,HS15,T15N SR10,SR10-10
646,HS15^T15N SR04^SR04-04,HS15,T15N SR04,SR04-04
1404,HS15^T15N SR01^SR01-01,HS15,T15N SR01,SR01-01
24,HS15^T15N SR06^SR06-06,HS15,T15N SR06,SR06-06
1090,HS15^T15N SR02^SR02-02,HS15,T15N SR02,SR02-02
25,HS15^T15N LOA^LOA,HS15,T15N LOA,LOA
1107,HS15^T15N SR05^SR05-05,HS15,T15N SR05,SR05-05
362,HS15^T15N SR12^SR12-12,HS15,T15N SR12,SR12-12
432,HS15^T15N SR03^SR03-03,HS15,T15N SR03,SR03-03
28,HS15^T15N WAITING^WAIT,HS15,T15N WAITING,WAIT
252,HS15^T15N SR11^SR11-11,HS15,T15N SR11,SR11-11
837,HS15^T15N SR08^SR08-08,HS15,T15N SR08,SR08-08
1627,HS15^null^null,HS15,null,null
1176,HS15^T15N SR07^SR07-07,HS15,T15N SR07,SR07-07
1333,HSDC^T15S SR27^SR27-27,HSDC,T15S SR27,SR27-27
547,HSDC^T15S SR28^SR28-28,HSDC,T15S SR28,SR28-28
1379,HSDC^T15S SR31^SR31-31,HSDC,T15S SR31,SR31-31
478,HSDC^T15S SR29^SR29-29,HSDC,T15S SR29,SR29-29
1276,HSDC^T15S SR18^SR18-18,HSDC,T15S SR18,SR18-18
121,HSDC^T15S SR17^SR17-17,HSDC,T15S SR17,SR17-17
333,HSDC^T15S SR25^SR25-25,HSDC,T15S SR25,SR25-25
1608,HSDC^T15S SR24^SR24-24,HSDC,T15S SR24,SR24-24
1604,HSDC^T15S SR23^SR23-23,HSDC,T15S SR23,SR23-23
854,HSDC^T15S WAITING^WAIT,HSDC,T15S WAITING,WAIT
994,HSDC^T15S SR21^SR21-21,HSDC,T15S SR21,SR21-21
469,HSDC^T15S SR32^SR32-32,HSDC,T15S SR32,SR32-32
1594,HSDC^T15S SR15^SR15-15,HSDC,T15S SR15,SR15-15
1701,HSDC^T15S SR19^SR19-19,HSDC,T15S SR19,SR19-19
848,HSDC^T15S SR22^SR22-22,HSDC,T15S SR22,SR22-22
1576,HSDC^T15S SR20^SR20-20,HSDC,T15S SR20,SR20-20
1526,HSDC^T15S SR30^SR30-30,HSDC,T15S SR30,SR30-30
703,HSDC^T15S SR16^SR16-16,HSDC,T15S SR16,SR16-16
466,HSDC^T15S SR14^SR14-14,HSDC,T15S SR14,SR14-14
784,HSDC^T15S SR26^SR26-26,HSDC,T15S SR26,SR26-26
1544,HYBD^UCH T02 HYBD POOL^WAIT,HYBD,UCH T02 HYBD POOL,WAIT
531,IV1AT^null^null,IV1AT,null,null
508,JDES5^null^null,JDES5,null,null
1457,JTNQ^Q7JTTU BY01^BY01-01,JTNQ,Q7JTTU BY01,BY01-01
131,JTNQ^Q7JTTU BY01^BY01-02,JTNQ,Q7JTTU BY01,BY01-02
347,JTNQ^Q7JTTU BY01^BY01-06,JTNQ,Q7JTTU BY01,BY01-06
270,JTNQ^Q7JTTU WAITING^WAIT,JTNQ,Q7JTTU WAITING,WAIT
1733,JTNQ^null^null,JTNQ,null,null
1708,JTNQ^Q7JTTU BY01^BY01-03,JTNQ,Q7JTTU BY01,BY01-03
851,JTNQ^Q7JTTU BY01^BY01-05,JTNQ,Q7JTTU BY01,BY01-05
806,JTNQ^Q7JTTU BY01^BY01-04,JTNQ,Q7JTTU BY01,BY01-04
222,JTNQ^Q7JTTU BY01^BY01-07,JTNQ,Q7JTTU BY01,BY01-07
1223,JYNQ^Q4JY BY02^BY02-05,JYNQ,Q4JY BY02,BY02-05
1411,JYNQ^Q4JY BY04^BY04-09,JYNQ,Q4JY BY04,BY04-09
1019,JYNQ^Q4JY BY01^BY01-02,JYNQ,Q4JY BY01,BY01-02
820,JYNQ^Q4JY BY04^BY04-12,JYNQ,Q4JY BY04,BY04-12
145,JYNQ^Q4JY BY04^BY04-10,JYNQ,Q4JY BY04,BY04-10
15,JYNQ^Q4JY BY03^BY03-08,JYNQ,Q4JY BY03,BY03-08
558,JYNQ^Q4JY BY04^BY04-11,JYNQ,Q4JY BY04,BY04-11
1781,JYNQ^Q4JY BY01^BY01-03,JYNQ,Q4JY BY01,BY01-03
206,JYNQ^Q4JY BY02^BY02-06,JYNQ,Q4JY BY02,BY02-06
1146,JYNQ^Q4JY BY01^BY01-01,JYNQ,Q4JY BY01,BY01-01
1795,JYNQ^Q4JY WAITING^WAIT,JYNQ,Q4JY WAITING,WAIT
1141,JYNQ^Q4JY BY03^BY03-07,JYNQ,Q4JY BY03,BY03-07
941,JYNQ^Q4JY SR01^SR01-01,JYNQ,Q4JY SR01,SR01-01
792,JYNQ^Q4JY BY01^BY01-04,JYNQ,Q4JY BY01,BY01-04
294,LVNB^OFF LOA MCCG03TYA^MCC G03 TYA (AMBICARE 3RD FLOOR),LVNB,OFF LOA MCCG03TYA,MCC G03 TYA (AMBICARE 3RD FLOOR)
410,LVNB^OFF LOA MCCH04AMB^MCC H02 AMBULATORY (ADULTS 2ND FLOOR),LVNB,OFF LOA MCCH04AMB,MCC H02 AMBULATORY (ADULTS 2ND FLOOR)
659,LVNB^OFF LOA POOL01^LOA,LVNB,OFF LOA POOL01,LOA
461,LW^E02LW SR01^SR01-A01,LW,E02LW SR01,SR01-A01
758,LW^E02LW SR07^SR07-A01,LW,E02LW SR07,SR07-A01
1331,LW^E02LW SR10^SR10-A01,LW,E02LW SR10,SR10-A01
955,LW^E02LW SR06^SR06-A01,LW,E02LW SR06,SR06-A01
1136,LW^E02LW WAITING^WAIT,LW,E02LW WAITING,WAIT
1419,LW^E02LW SR04^SR04-A01,LW,E02LW SR04,SR04-A01
57,LW^E02LW PR05^PR05-A01,LW,E02LW PR05,PR05-A01
888,LW^E02LW SR09^SR09-A01,LW,E02LW SR09,SR09-A01
985,LW^E02LW SR08^SR08-A01,LW,E02LW SR08,SR08-A01
1657,LW^E02LW SR11^SR11-A01,LW,E02LW SR11,SR11-A01
1125,LW^E02LW SRGR^SRGR-A01,LW,E02LW SRGR,SRGR-A01
1742,LW^E02LW SR02^SR02-A01,LW,E02LW SR02,SR02-A01
498,LW^E02LW SR12^SR12-A01,LW,E02LW SR12,SR12-A01
1715,LW^E02LW SR03^SR03-A01,LW,E02LW SR03,SR03-A01
1066,LWN^E02LWN SR10^SR10-C01,LWN,E02LWN SR10,SR10-C01
989,LWN^E02LWN SR06^SR06-C01,LWN,E02LWN SR06,SR06-C01
1707,LWN^E02LWN PR05^PR05-C01,LWN,E02LWN PR05,PR05-C01
625,LWN^E02LWN SRGR^SRGR-C01,LWN,E02LWN SRGR,SRGR-C01
1569,LWN^E02LWN SR07^SR07-C01,LWN,E02LWN SR07,SR07-C01
601,LWN^E02LWN SR11^SR11-C01,LWN,E02LWN SR11,SR11-C01
633,LWN^E02LWN SR01^SR01-C02,LWN,E02LWN SR01,SR01-C02
1524,LWN^E02LWN SRGR^SRGR-C02,LWN,E02LWN SRGR,SRGR-C02
963,LWN^E02LWN SR02^SR02-C02,LWN,E02LWN SR02,SR02-C02
881,LWN^E02LWN SR09^SR09-C02,LWN,E02LWN SR09,SR09-C02
992,LWN^E02LWN BUTTERFLY^BUTTERFLY,LWN,E02LWN BUTTERFLY,BUTTERFLY
257,LWN^E02LWN SR07^SR07-C02,LWN,E02LWN SR07,SR07-C02
1454,LWN^E02LWN SR11^SR11-C03,LWN,E02LWN SR11,SR11-C03
1606,LWN^E02LWN SR08^SR08-C02,LWN,E02LWN SR08,SR08-C02
1441,LWN^E02LWN PR05^PR05-C02,LWN,E02LWN PR05,PR05-C02
1640,LWN^E02LWN SR11^SR11-C02,LWN,E02LWN SR11,SR11-C02
1412,LWN^E02LWN SR06^SR06-C02,LWN,E02LWN SR06,SR06-C02
1651,LWN^E02LWN SR09^SR09-C01,LWN,E02LWN SR09,SR09-C01
643,LWN^E02LWN SR02^SR02-C01,LWN,E02LWN SR02,SR02-C01
1038,LWN^E02LWN SR01^SR01-C01,LWN,E02LWN SR01,SR01-C01
1501,LWN^E02LWN SR08^SR08-C01,LWN,E02LWN SR08,SR08-C01
134,LWN^E02LWN SR04^SR04-C01,LWN,E02LWN SR04,SR04-C01
664,LWN^E02LWN SR12^SR12-C01,LWN,E02LWN SR12,SR12-C01
1266,LWN^E02LWN SR03^SR03-C02,LWN,E02LWN SR03,SR03-C02
148,LWN^E02LWN SR12^SR12-C02,LWN,E02LWN SR12,SR12-C02
45,LWN^E02LWN SR03^SR03-C01,LWN,E02LWN SR03,SR03-C01
1679,LWN^E02LWN SR10^SR10-C02,LWN,E02LWN SR10,SR10-C02
1726,LWN^E02LWN SR04^SR04-C02,LWN,E02LWN SR04,SR04-C02
1324,LWNQ^A0WRW WAITING^WAIT,LWNQ,A0WRW WAITING,WAIT
94,LWNQ^A0WRW BY01^BY01-03,LWNQ,A0WRW BY01,BY01-03
720,LWNQ^A0WRW SR01^SR01-01,LWNQ,A0WRW SR01,SR01-01
1311,LWNQ^A0WRW SR02^SR02-02,LWNQ,A0WRW SR02,SR02-02
1244,LWNQ^NHNN WRW CLINIC^WAIT,LWNQ,NHNN WRW CLINIC,WAIT
480,LWNQ^A0WRW BY01^BY01-01,LWNQ,A0WRW BY01,BY01-01
975,LWNQ^A0WRW BY01^BY01-02,LWNQ,A0WRW BY01,BY01-02
228,LWNQ^null^null,LWNQ,null,null
1358,LWNQ^NHNN WRW CLINIC^CLINIC,LWNQ,NHNN WRW CLINIC,CLINIC
970,LWNQ^A0WRW SR03^SR03-03,LWNQ,A0WRW SR03,SR03-03
1618,LYNQ^Q1LAA BY01^BY01-04,LYNQ,Q1LAA BY01,BY01-04
1278,LYNQ^Q1LAA BY02^BY02-06,LYNQ,Q1LAA BY02,BY02-06
492,LYNQ^Q1LAA SR03^SR03-03,LYNQ,Q1LAA SR03,SR03-03
1702,LYNQ^Q1LAA BY03^BY03-18,LYNQ,Q1LAA BY03,BY03-18
474,LYNQ^Q1LAA BY02^BY02-05,LYNQ,Q1LAA BY02,BY02-05
582,LYNQ^Q1LAA BY03^BY03-08,LYNQ,Q1LAA BY03,BY03-08
1207,LYNQ^Q1LAA WAITING^WAIT,LYNQ,Q1LAA WAITING,WAIT
986,LYNQ^Q1LAA BY01^BY01-03,LYNQ,Q1LAA BY01,BY01-03
440,LYNQ^Q1LAA SR01^SR01-01,LYNQ,Q1LAA SR01,SR01-01
441,LYNQ^Q1LAA BY03^BY03-13,LYNQ,Q1LAA BY03,BY03-13
1633,LYNQ^Q1LAA BY01^BY01-01,LYNQ,Q1LAA BY01,BY01-01
